brake,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
0,1,1,1258,8,10739,10022,302,100,1745168696547
0,1,1,1258,8,10783,10022,301,100,1745168696787
0,1,1,1258,8,10758,10022,302,100,1745168697067
0,1,1,1258,8,10844,10022,303,100,1745168697467
0,1,1,1258,8,10772,10022,303,100,1745168697787
0,1,1,1258,8,10785,10022,303,100,1745168698028
0,1,1,1258,8,10715,10022,303,100,1745168698228
0,1,1,1258,8,10775,10022,303,100,1745168698548
0,1,1,1258,8,10722,10022,302,100,1745168698828
0,1,1,1258,8,10718,10022,302,100,1745168699108
0,1,1,1258,8,10745,10022,301,100,1745168699267
0,1,1,1258,8,10743,10022,301,100,1745168699427
0,1,1,1258,8,10697,10022,300,100,1745168699707
0,1,1,1258,8,10590,10022,299,100,1745168699947
0,1,1,1258,8,10577,10022,297,100,1745168700267
0,1,1,1258,8,10488,10022,296,100,1745168700507
0,1,1,1258,8,10450,10022,295,100,1745168700747
0,1,1,1258,8,10353,10022,293,7,1745168700907
0,1,1,1258,8,10097,10022,290,0,1745168701147
100,1,1,1258,8,9876,10022,209,0,1745168702347
100,1,1,1258,6,9491,10022,191,0,1745168702627
100,1,1,1258,5,10429,10022,178,0,1745168703027
100,1,1,1258,4,9880,10022,169,0,1745168703347
100,1,1,1258,3,10975,10022,159,0,1745168703667
100,1,1,1258,3,10637,10022,154,0,1745168703867
100,1,1,1258,3,10228,10022,148,0,1745168704067
100,1,1,1258,3,9506,10022,137,0,1745168704468
100,1,1,1258,3,9500,10022,133,0,1745168704628
100,1,1,1258,3,8921,10022,129,0,1745168704788
100,1,1,1258,3,8781,10022,124,0,1745168704948
100,1,1,1258,3,8057,10022,116,0,1745168705348
100,1,1,1258,3,8027,10022,113,0,1745168705548
100,1,1,1258,3,9589,10022,109,0,1745168705868
0,1,1,1258,2,8878,10022,106,0,1745168706067
0,1,1,1258,2,9068,10022,104,0,1745168706227
0,1,1,1258,2,8801,10022,103,0,1745168706427
0,1,1,1258,2,8867,10022,101,0,1745168706747
0,1,1,1258,2,8753,10022,99,0,1745168707187
0,1,1,1258,2,8558,10022,98,0,1745168707507
0,1,1,1258,2,8598,10022,97,0,1745168707707
0,1,1,1258,2,8450,10022,96,0,1745168707987
0,1,1,1258,2,8310,10022,94,0,1745168708147
0,1,1,1258,2,7972,10022,93,0,1745168708307
0,1,1,1258,2,7856,10022,93,0,1745168708467
0,1,1,1258,2,7898,10022,91,0,1745168708707
0,1,1,1258,2,7852,10022,90,0,1745168708867
0,1,1,1258,2,7679,10022,88,0,1745168709107
100,1,1,1258,2,8798,10022,85,0,1745168709467
0,1,1,1258,2,8778,10022,82,0,1745168709667
0,1,1,1258,1,8896,10022,81,3,1745168709827
0,1,1,1258,1,8899,10022,81,9,1745168710107
0,1,1,1258,1,8927,10022,81,11,1745168710387
0,1,1,1258,1,9026,10022,82,11,1745168710787
0,1,1,1258,1,8092,10022,83,10,1745168711068
0,1,1,1258,1,7599,10022,84,10,1745168711228
0,1,1,1258,2,7636,10022,85,10,1745168711508
0,1,1,1258,2,7587,10022,86,12,1745168711708
0,1,1,1258,2,7629,10022,87,14,1745168711908
0,1,1,1258,2,7985,10022,90,13,1745168712348
0,1,1,1258,2,7985,10022,91,13,1745168712508
0,1,1,1258,2,8111,10022,93,9,1745168712907
0,1,1,1258,2,7896,10022,93,0,1745168713267
0,1,1,1258,2,7787,10022,91,0,1745168713467
0,1,1,1258,2,7692,10022,89,0,1745168713667
0,1,1,1258,2,7697,10022,88,0,1745168713987
0,1,1,1258,2,7528,10022,85,0,1745168714427
0,1,1,1258,2,7370,10022,84,0,1745168714707
0,1,1,1258,2,7122,10022,83,0,1745168714987
0,1,1,1258,2,7027,10022,82,0,1745168715267
0,1,1,1258,2,6991,10022,80,0,1745168715467
0,1,1,1258,2,6676,10022,78,0,1745168715867
0,1,1,1258,2,6783,10022,75,2,1745168716227
0,1,1,1258,2,6695,10022,75,4,1745168716467
0,1,1,1258,2,6597,10022,76,5,1745168716787
0,1,1,1258,2,6843,10022,77,7,1745168717387
0,1,1,1258,2,6925,10022,79,8,1745168717628
0,1,1,1258,2,7000,10022,79,9,1745168717788
0,1,1,1258,2,7105,10022,81,10,1745168718188
0,1,1,1258,2,7328,10022,83,11,1745168718348
0,1,1,1258,2,7567,10022,84,12,1745168718748
0,1,1,1258,2,7820,10022,88,17,1745168719108
0,1,1,1258,2,8097,10022,91,20,1745168719467
0,1,1,1258,2,8281,10022,94,23,1745168719707
0,1,1,1258,2,8501,10022,95,25,1745168719867
0,1,1,1258,2,8878,10022,100,27,1745168720227
0,1,1,1258,2,8959,10022,102,27,1745168720427
0,1,1,1258,2,7923,10022,104,26,1745168720667
0,1,1,1258,3,7766,10022,107,27,1745168720947
0,1,1,1258,3,7932,10022,111,27,1745168721347
0,1,1,1258,3,8124,10022,113,30,1745168721507
0,1,1,1258,3,8408,10022,114,31,1745168721787
0,1,1,1258,3,8754,10022,120,32,1745168722147
0,1,1,1258,3,8824,10022,122,37,1745168722307
0,1,1,1258,3,9037,10022,124,36,1745168722547
0,1,1,1258,3,9190,10022,126,35,1745168722747
0,1,1,1258,3,9241,10022,129,36,1745168723027
0,1,1,1258,3,9497,10022,132,36,1745168723347
0,1,1,1258,3,9504,10022,134,37,1745168723627
0,1,1,1258,3,9777,10022,136,38,1745168723987
0,1,1,1258,3,9866,10022,137,38,1745168724148
0,1,1,1258,3,8520,10022,138,38,1745168724428
0,1,1,1258,4,8550,10022,142,38,1745168724748
0,1,1,1258,4,8754,10022,145,39,1745168725068
0,1,1,1258,4,8791,10022,147,39,1745168725228
0,1,1,1258,4,8845,10022,148,40,1745168725388
0,1,1,1258,4,8997,10022,150,40,1745168725628
0,1,1,1258,4,9147,10022,152,41,1745168725948
0,1,1,1258,4,9346,10022,155,41,1745168726187
0,1,1,1258,4,9357,10022,157,41,1745168726427
0,1,1,1258,4,9426,10022,158,42,1745168726587
0,1,1,1258,4,9522,10022,160,41,1745168726867
0,1,1,1258,4,9615,10022,162,41,1745168727107
0,1,1,1258,4,9602,10022,163,41,1745168727347
0,1,1,1258,4,9887,10022,165,41,1745168727667
100,1,1,1258,4,9988,10022,164,0,1745168728027
100,1,1,1258,4,9372,10022,159,0,1745168728267
100,1,1,1258,4,8748,10022,151,0,1745168728627
100,1,1,1258,4,8430,10022,145,0,1745168728787
100,1,1,1258,4,9094,10022,143,0,1745168729067
100,1,1,1258,3,9552,10022,132,0,1745168729347
0,1,1,1258,3,9115,10022,128,0,1745168729667
0,1,1,1258,3,8873,10022,125,0,1745168729907
0,1,1,1258,3,8700,10022,124,0,1745168730147
0,1,1,1258,3,8685,10022,120,4,1745168730507
0,1,1,1258,3,8533,10022,120,14,1745168730828
0,1,1,1258,3,8713,10022,121,25,1745168731068
0,1,1,1258,3,8760,10022,123,28,1745168731348
0,1,1,1258,3,9041,10022,126,38,1745168731628
0,1,1,1258,3,9289,10022,129,41,1745168731828
0,1,1,1258,3,9398,10022,131,42,1745168732028
0,1,1,1258,3,9706,10022,134,46,1745168732228
0,1,1,1258,3,9706,10022,136,46,1745168732428
0,1,1,1258,3,10105,10022,140,48,1745168732628
0,1,1,1258,3,9218,10022,145,50,1745168732987
0,1,1,1258,4,8968,10022,151,53,1745168733307
0,1,1,1258,4,9320,10022,153,54,1745168733467
0,1,1,1258,4,9599,10022,157,56,1745168733787
0,1,1,1258,4,9769,10022,162,58,1745168734027
0,1,1,1258,4,9952,10022,164,59,1745168734187
0,1,1,1258,4,10125,10022,167,60,1745168734347
0,1,1,1258,4,10249,10022,171,61,1745168734507
0,1,1,1258,4,10480,10022,174,62,1745168734707
0,1,1,1258,4,10651,10022,176,63,1745168734907
0,1,1,1258,4,10803,10022,181,64,1745168735147
0,1,1,1258,4,11271,10022,187,64,1745168735587
0,1,1,1258,4,10675,10022,191,65,1745168735827
0,1,1,1258,4,9997,10022,193,68,1745168736027
0,1,1,1258,5,9977,10022,195,35,1745168736187
0,1,1,1258,5,10035,10022,195,0,1745168736347
100,1,1,1258,5,9119,10022,185,0,1745168736547
100,1,1,1258,5,9679,10022,175,0,1745168736707
100,1,1,1258,4,10595,10022,160,0,1745168737067
100,1,1,1258,3,10071,10022,151,0,1745168737428
100,1,1,1258,3,9451,10022,138,0,1745168737628
100,1,1,1258,3,8678,10022,126,0,1745168737868
100,1,1,1258,3,8435,10022,122,0,1745168738028
100,1,1,1258,2,9164,10022,107,0,1745168738468
100,1,1,1258,2,8610,10022,99,0,1745168738708
100,1,1,1258,2,7994,10022,94,0,1745168738988
100,1,1,1258,2,7550,10022,88,0,1745168739268
100,1,1,1258,2,7238,10022,85,0,1745168739468
100,1,1,1258,2,7016,10022,83,0,1745168739627
100,1,1,1258,2,6823,10022,80,0,1745168739787
0,1,1,1258,2,7129,10022,78,0,1745168739987
0,1,1,1258,2,7926,10022,73,0,1745168740227
0,1,1,1258,1,7351,10022,70,0,1745168740547
0,1,1,1258,1,7144,10022,68,0,1745168740747
0,1,1,1258,1,7042,10022,65,0,1745168740907
0,1,1,1258,1,6765,10022,63,0,1745168741147
0,1,1,1258,1,6535,10022,61,0,1745168741467
0,1,1,1258,1,6279,10022,59,0,1745168741787
0,1,1,1258,1,6148,10022,57,0,1745168742067
0,1,1,1258,1,5939,10022,55,0,1745168742347
0,1,1,1258,1,5891,10022,54,3,1745168742587
0,1,1,1258,1,5810,10022,53,3,1745168742907
0,1,1,1258,1,5883,10022,54,4,1745168743227
0,1,1,1258,1,5968,10022,54,6,1745168743387
0,1,1,1258,1,6941,10022,61,14,1745168744268
0,1,1,1258,1,7248,10022,65,16,1745168744508
0,1,1,1258,1,7663,10022,67,18,1745168744748
0,1,1,1258,1,7800,10022,70,18,1745168744908
0,1,1,1258,1,7948,10022,71,18,1745168745108
0,1,1,1258,1,8717,10022,78,25,1745168745508
0,1,1,1258,2,7481,10022,83,27,1745168745828
0,1,1,1258,2,8268,10022,92,34,1745168746307
0,1,1,1258,2,9015,10022,99,42,1745168746747
0,1,1,1258,2,9531,10022,107,42,1745168747107
0,1,1,1258,2,9415,10022,108,43,1745168747267
0,1,1,1258,3,8414,10022,112,46,1745168747587
0,1,1,1258,3,8824,10022,118,49,1745168747787
0,1,1,1258,3,9182,10022,123,49,1745168747987
0,1,1,1258,3,9213,10022,127,48,1745168748147
0,1,1,1258,3,9402,10022,131,48,1745168748347
0,1,1,1258,3,9791,10022,134,48,1745168748547
0,1,1,1258,3,9791,10022,136,48,1745168748707
0,1,1,1258,3,10155,10022,142,50,1745168749027
0,1,1,1258,3,10536,10022,146,50,1745168749307
0,1,1,1258,3,10337,10022,147,50,1745168749467
0,1,1,1258,3,8898,10022,152,50,1745168749747
0,1,1,1258,4,9325,10022,154,50,1745168749907
0,1,1,1258,4,9492,10022,157,51,1745168750147
0,1,1,1258,4,9724,10022,161,51,1745168750468
0,1,1,1258,4,9947,10022,164,52,1745168750748
0,1,1,1258,4,10151,10022,169,53,1745168751028
0,1,1,1258,4,10258,10022,171,53,1745168751268
0,1,1,1258,4,10428,10022,173,53,1745168751428
0,1,1,1258,4,10465,10022,176,53,1745168751788
0,1,1,1258,4,9569,10022,180,55,1745168752108
0,1,1,1258,5,9150,10022,183,12,1745168752388
100,1,1,1258,5,9100,10022,175,0,1745168752708
100,1,1,1258,5,9153,10022,167,0,1745168752908
100,1,1,1258,5,10261,10022,161,0,1745168753107
100,1,1,1258,4,9281,10022,157,0,1745168753267
100,1,1,1258,4,8957,10022,153,0,1745168753427
100,1,1,1258,4,8779,10022,149,0,1745168753627
0,1,1,1258,4,9708,10022,144,0,1745168753987
0,1,1,1258,4,9957,10022,141,0,1745168754147
0,1,1,1258,3,9741,10022,139,0,1745168754387
0,1,1,1258,3,9654,10022,136,3,1745168754747
0,1,1,1258,3,9619,10022,135,13,1745168754987
0,1,1,1258,3,9532,10022,134,20,1745168755227
0,1,1,1258,3,9652,10022,134,32,1745168755467
0,1,1,1258,3,9755,10022,135,42,1745168755707
0,1,1,1258,3,9943,10022,138,51,1745168755907
0,1,1,1258,3,10575,10022,143,61,1745168756267
0,1,1,1258,3,10429,10022,148,63,1745168756467
0,1,1,1258,3,10156,10022,152,63,1745168756627
0,1,1,1258,3,9446,10022,157,74,1745168756827
0,1,1,1258,4,9990,10022,166,82,1745168757108
0,1,1,1258,4,10475,10022,169,85,1745168757268
0,1,1,1258,4,10859,10022,175,89,1745168757468
0,1,1,1258,4,11171,10022,184,100,1745168757708
0,1,1,1258,4,10138,10022,194,100,1745168758108
100,1,1,1258,5,9639,10022,198,0,1745168758468
100,1,1,1258,5,9270,10022,190,0,1745168758668
100,1,1,1258,5,9784,10022,178,0,1745168758908
100,1,1,1258,4,10193,10022,174,0,1745168759148
0,1,1,1258,4,10050,10022,171,0,1745168759348
0,1,1,1258,4,10041,10022,169,3,1745168759548
0,1,1,1258,4,9721,10022,166,24,1745168759867
0,1,1,1258,4,9897,10022,166,43,1745168760187
0,1,1,1258,4,10220,10022,170,63,1745168760627
0,1,1,1258,4,10556,10022,172,72,1745168760787
0,1,1,1258,4,10767,10022,175,76,1745168760947
0,1,1,1258,4,10905,10022,180,81,1745168761107
0,1,1,1258,4,11319,10022,183,83,1745168761347
0,1,1,1258,4,11453,10022,190,84,1745168761507
0,1,1,1258,4,11482,10022,196,87,1745168761867
0,1,1,1258,4,10362,10022,196,92,1745168762027
0,1,1,1258,5,10606,10022,204,100,1745168762267
0,1,1,1258,5,10801,10022,210,100,1745168762587
0,1,1,1258,5,11008,10022,215,100,1745168762827
0,1,1,1258,5,11326,10022,220,100,1745168763187
0,1,1,1258,5,11416,10022,221,100,1745168763347
0,1,1,1258,5,10978,10022,226,100,1745168763587
0,1,1,1258,5,10412,10022,228,100,1745168763748
0,1,1,1258,6,10436,10022,233,97,1745168764148
0,1,1,1258,6,10436,10022,232,77,1745168764308
100,1,1,1258,6,9657,10022,223,0,1745168764668
100,1,1,1258,6,8984,10022,208,0,1745168764948
100,1,1,1258,6,9559,10022,198,0,1745168765148
100,1,1,1258,6,9559,10022,189,0,1745168765348
100,1,1,1258,4,9894,10022,171,0,1745168765828
100,1,1,1258,4,10209,10022,157,0,1745168766108
100,1,1,1258,4,10531,10022,150,0,1745168766308
100,1,1,1258,3,10091,10022,143,0,1745168766587
100,1,1,1258,3,9753,10022,134,0,1745168766827
100,1,1,1258,3,9168,10022,129,0,1745168767027
100,1,1,1258,3,8791,10022,124,0,1745168767227
