brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
0,2025-04-20T17:21:12.098+01:00,81,1,1258,5,11453,10022,218,73,1745166072098
0,2025-04-20T17:21:12.378+01:00,81,1,1258,5,11543,10022,219,77,1745166072378
0,2025-04-20T17:21:12.818+01:00,81,1,1258,5,11941,10022,224,98,1745166072818
0,2025-04-20T17:21:12.978+01:00,81,1,1258,5,11381,10022,227,99,1745166072978
0,2025-04-20T17:21:13.218+01:00,81,1,1258,6,10659,10022,231,99,1745166073218
0,2025-04-20T17:21:13.379+01:00,81,1,1258,6,10709,10022,234,99,1745166073379
0,2025-04-20T17:21:13.819+01:00,81,1,1258,6,11014,10022,241,99,1745166073819
0,2025-04-20T17:21:14.059+01:00,81,1,1258,6,11367,10022,241,99,1745166074059
0,2025-04-20T17:21:14.259+01:00,81,1,1258,6,11425,10022,248,99,1745166074259
0,2025-04-20T17:21:14.459+01:00,81,1,1258,6,11533,10022,251,99,1745166074459
0,2025-04-20T17:21:14.739+01:00,81,1,1258,6,11690,10022,254,99,1745166074739
0,2025-04-20T17:21:14.979+01:00,81,1,1258,6,10496,10022,260,99,1745166074979
0,2025-04-20T17:21:15.179+01:00,81,1,1258,7,10544,10022,263,99,1745166075179
0,2025-04-20T17:21:15.379+01:00,81,1,1258,7,10665,10022,265,99,1745166075379
0,2025-04-20T17:21:15.579+01:00,81,1,1258,7,10748,10022,268,99,1745166075579
0,2025-04-20T17:21:15.859+01:00,81,1,1258,7,10867,10022,271,99,1745166075859
0,2025-04-20T17:21:16.059+01:00,81,1,1258,7,10967,10022,273,99,1745166076059
0,2025-04-20T17:21:16.219+01:00,81,1,1258,7,11032,10022,275,99,1745166076219
0,2025-04-20T17:21:16.499+01:00,81,1,1258,7,11091,10022,277,99,1745166076499
0,2025-04-20T17:21:16.818+01:00,81,1,1258,7,11301,10022,280,99,1745166076818
0,2025-04-20T17:21:17.178+01:00,81,1,1258,7,11312,10022,284,99,1745166077178
0,2025-04-20T17:21:17.458+01:00,81,1,1258,7,11405,10022,286,99,1745166077458
0,2025-04-20T17:21:17.778+01:00,81,1,1258,7,11484,10022,289,99,1745166077778
0,2025-04-20T17:21:17.938+01:00,81,1,1258,7,11596,10022,290,99,1745166077938
0,2025-04-20T17:21:18.098+01:00,81,1,1258,7,11667,10022,291,99,1745166078098
0,2025-04-20T17:21:18.418+01:00,81,1,1258,7,11650,10022,293,99,1745166078418
0,2025-04-20T17:21:18.698+01:00,81,1,1258,7,11724,10022,294,99,1745166078698
0,2025-04-20T17:21:18.858+01:00,81,1,1258,7,11687,10022,294,99,1745166078858
0,2025-04-20T17:21:19.218+01:00,81,1,1258,7,11654,10022,294,99,1745166079218
0,2025-04-20T17:21:19.418+01:00,81,1,1258,7,11658,10022,293,99,1745166079418
0,2025-04-20T17:21:19.738+01:00,81,1,1258,7,11511,10022,289,0,1745166079738
100,2025-04-20T17:21:20.059+01:00,81,1,1258,7,10204,10022,275,0,1745166080059
100,2025-04-20T17:21:20.219+01:00,81,1,1258,7,9501,10022,250,0,1745166080219
100,2025-04-20T17:21:20.379+01:00,81,1,1258,7,9781,10022,237,0,1745166080379
100,2025-04-20T17:21:20.619+01:00,81,1,1258,6,9716,10022,208,0,1745166080619
100,2025-04-20T17:21:20.779+01:00,81,1,1258,6,10836,10022,192,0,1745166080779
100,2025-04-20T17:21:20.979+01:00,81,1,1258,5,10763,10022,182,0,1745166080979
100,2025-04-20T17:21:21.219+01:00,81,1,1258,4,10299,10022,173,0,1745166081219
100,2025-04-20T17:21:21.539+01:00,81,1,1258,4,9589,10022,167,0,1745166081539
100,2025-04-20T17:21:21.739+01:00,81,1,1258,4,9313,10022,160,0,1745166081739
0,2025-04-20T17:21:21.899+01:00,81,1,1258,4,9157,10022,155,0,1745166081899
0,2025-04-20T17:21:22.299+01:00,81,1,1258,4,8741,10022,149,1,1745166082299
0,2025-04-20T17:21:22.779+01:00,81,1,1258,4,8786,10022,142,48,1745166082779
0,2025-04-20T17:21:23.139+01:00,81,1,1258,4,9054,10022,144,54,1745166083139
0,2025-04-20T17:21:23.419+01:00,81,1,1258,4,9248,10022,149,61,1745166083419
0,2025-04-20T17:21:23.578+01:00,81,1,1258,4,9365,10022,152,63,1745166083578
0,2025-04-20T17:21:23.738+01:00,81,1,1258,4,9608,10022,153,67,1745166083738
0,2025-04-20T17:21:24.018+01:00,81,1,1258,4,9925,10022,158,71,1745166084018
0,2025-04-20T17:21:24.338+01:00,81,1,1258,4,10225,10022,162,79,1745166084338
0,2025-04-20T17:21:24.498+01:00,81,1,1258,4,10361,10022,167,87,1745166084498
0,2025-04-20T17:21:24.738+01:00,81,1,1258,4,11112,10022,174,94,1745166084738
0,2025-04-20T17:21:25.058+01:00,81,1,1258,4,11413,10022,182,94,1745166085058
0,2025-04-20T17:21:25.298+01:00,81,1,1258,4,11904,10022,191,98,1745166085298
0,2025-04-20T17:21:25.578+01:00,81,1,1258,5,10609,10022,200,98,1745166085578
0,2025-04-20T17:21:25.738+01:00,81,1,1258,5,10874,10022,202,98,1745166085738
0,2025-04-20T17:21:25.978+01:00,81,1,1258,5,11098,10022,209,98,1745166085978
0,2025-04-20T17:21:26.218+01:00,81,1,1258,5,11430,10022,213,99,1745166086218
0,2025-04-20T17:21:26.459+01:00,81,1,1258,5,11670,10022,218,99,1745166086459
0,2025-04-20T17:21:26.859+01:00,81,1,1258,5,11962,10022,224,99,1745166086859
0,2025-04-20T17:21:27.299+01:00,81,1,1258,6,10967,10022,237,99,1745166087299
0,2025-04-20T17:21:28.339+01:00,81,1,1258,6,11768,10022,254,99,1745166088339
0,2025-04-20T17:21:28.659+01:00,81,1,1258,7,10508,10022,259,99,1745166088659
0,2025-04-20T17:21:29.059+01:00,81,1,1258,7,10651,10022,265,99,1745166089059
0,2025-04-20T17:21:29.219+01:00,81,1,1258,7,10772,10022,267,99,1745166089219
0,2025-04-20T17:21:29.419+01:00,81,1,1258,7,10785,10022,269,99,1745166089419
0,2025-04-20T17:21:29.659+01:00,81,1,1258,7,10822,10022,270,99,1745166089659
0,2025-04-20T17:21:30.019+01:00,81,1,1258,7,10939,10022,274,99,1745166090019
0,2025-04-20T17:21:30.338+01:00,81,1,1258,7,11083,10022,277,99,1745166090338
0,2025-04-20T17:21:30.498+01:00,81,1,1258,7,11016,10022,278,99,1745166090498
